[INFO ] 2020-06-02 02:47:37.762  --- orsys.common.database.DB[129] START CALL TO PROCEDURE OR FUNCTION: [BEGIN web_pkg_router.bootstrap(:req, :res, :error) ; END; ]
[INFO ] 2020-06-02 02:47:37.834  --- orsys.common.HttpApi.CommonHttpCall[117] START CALL TO: [archives_ids]
[INFO ] 2020-06-02 02:47:37.835  --- orsys.common.database.DB[129] START CALL TO PROCEDURE OR FUNCTION: [BEGIN web_pkg_router.bootstrap(:req, :res, :error) ; END; ]
[INFO ] 2020-06-02 02:47:37.874  --- orsys.common.HttpApi.CommonHttpCall[117] START CALL TO: [docs_struArch]
[INFO ] 2020-06-02 02:47:37.874  --- orsys.common.database.DB[129] START CALL TO PROCEDURE OR FUNCTION: [BEGIN web_pkg_router.bootstrap(:req, :res, :error) ; END; ]
[INFO ] 2020-06-02 02:47:37.902  --- orsys.common.HttpApi.CommonHttpCall[117] START CALL TO: [docs_struArch]
[INFO ] 2020-06-02 02:47:37.903  --- orsys.common.database.DB[129] START CALL TO PROCEDURE OR FUNCTION: [BEGIN web_pkg_router.bootstrap(:req, :res, :error) ; END; ]
[INFO ] 2020-06-02 02:48:52.271  --- orsys.common.HttpApi.CommonHttpCall[117] START CALL TO: [archives_ids]
[INFO ] 2020-06-02 02:48:52.272  --- orsys.common.database.DB[129] START CALL TO PROCEDURE OR FUNCTION: [BEGIN web_pkg_router.bootstrap(:req, :res, :error) ; END; ]
[INFO ] 2020-06-02 02:48:52.451  --- orsys.common.HttpApi.CommonHttpCall[117] START CALL TO: [docs_struArch]
[INFO ] 2020-06-02 02:48:52.451  --- orsys.common.database.DB[129] START CALL TO PROCEDURE OR FUNCTION: [BEGIN web_pkg_router.bootstrap(:req, :res, :error) ; END; ]
[INFO ] 2020-06-02 02:48:52.454  --- orsys.common.HttpApi.CommonHttpCall[117] START CALL TO: [docs_struArch]
[INFO ] 2020-06-02 02:48:52.454  --- orsys.common.database.DB[129] START CALL TO PROCEDURE OR FUNCTION: [BEGIN web_pkg_router.bootstrap(:req, :res, :error) ; END; ]
[INFO ] 2020-06-02 02:49:01.883  --- orsys.common.HttpApi.CommonHttpCall[117] START CALL TO: [archive_create]
[INFO ] 2020-06-02 02:49:01.883  --- orsys.common.database.DB[129] START CALL TO PROCEDURE OR FUNCTION: [BEGIN web_pkg_router.bootstrap(:req, :res, :error) ; END; ]
[INFO ] 2020-06-02 02:49:01.979  --- orsys.common.HttpApi.CommonHttpCall[117] START CALL TO: [archives_ids]
[INFO ] 2020-06-02 02:49:01.979  --- orsys.common.database.DB[129] START CALL TO PROCEDURE OR FUNCTION: [BEGIN web_pkg_router.bootstrap(:req, :res, :error) ; END; ]
[INFO ] 2020-06-02 02:49:02.034  --- orsys.common.HttpApi.CommonHttpCall[117] START CALL TO: [docs_struArch]
[INFO ] 2020-06-02 02:49:02.035  --- orsys.common.database.DB[129] START CALL TO PROCEDURE OR FUNCTION: [BEGIN web_pkg_router.bootstrap(:req, :res, :error) ; END; ]
[INFO ] 2020-06-02 02:49:02.040  --- orsys.common.HttpApi.CommonHttpCall[117] START CALL TO: [docs_struArch]
[INFO ] 2020-06-02 02:49:02.041  --- orsys.common.database.DB[129] START CALL TO PROCEDURE OR FUNCTION: [BEGIN web_pkg_router.bootstrap(:req, :res, :error) ; END; ]
[INFO ] 2020-06-02 02:49:02.048  --- orsys.common.HttpApi.CommonHttpCall[117] START CALL TO: [docs_struArch]
[INFO ] 2020-06-02 02:49:02.048  --- orsys.common.database.DB[129] START CALL TO PROCEDURE OR FUNCTION: [BEGIN web_pkg_router.bootstrap(:req, :res, :error) ; END; ]
[INFO ] 2020-06-02 02:49:17.244  --- orsys.common.HttpApi.CommonHttpCall[117] START CALL TO: [docs_nonClasse]
[INFO ] 2020-06-02 02:49:17.244  --- orsys.common.database.DB[129] START CALL TO PROCEDURE OR FUNCTION: [BEGIN web_pkg_router.bootstrap(:req, :res, :error) ; END; ]
[INFO ] 2020-06-02 02:49:24.702  --- orsys.common.HttpApi.CommonHttpCall[117] START CALL TO: [docs_nonType]
[INFO ] 2020-06-02 02:49:24.703  --- orsys.common.database.DB[129] START CALL TO PROCEDURE OR FUNCTION: [BEGIN web_pkg_router.bootstrap(:req, :res, :error) ; END; ]
[INFO ] 2020-06-02 02:49:33.290  --- orsys.common.HttpApi.CommonHttpCall[117] START CALL TO: [doc_types]
[INFO ] 2020-06-02 02:49:33.290  --- orsys.common.database.DB[129] START CALL TO PROCEDURE OR FUNCTION: [BEGIN web_pkg_router.bootstrap(:req, :res, :error) ; END; ]
[INFO ] 2020-06-02 02:49:40.579  --- orsys.common.HttpApi.CommonHttpCall[117] START CALL TO: [doc_typage]
[INFO ] 2020-06-02 02:49:40.580  --- orsys.common.database.DB[129] START CALL TO PROCEDURE OR FUNCTION: [BEGIN web_pkg_router.bootstrap(:req, :res, :error) ; END; ]
[INFO ] 2020-06-02 02:49:40.864  --- orsys.common.HttpApi.CommonHttpCall[117] START CALL TO: [docs_nonType]
[INFO ] 2020-06-02 02:49:40.864  --- orsys.common.database.DB[129] START CALL TO PROCEDURE OR FUNCTION: [BEGIN web_pkg_router.bootstrap(:req, :res, :error) ; END; ]
[INFO ] 2020-06-02 02:49:51.345  --- orsys.common.HttpApi.CommonHttpCall[117] START CALL TO: [docs_nonClasse]
[INFO ] 2020-06-02 02:49:51.345  --- orsys.common.database.DB[129] START CALL TO PROCEDURE OR FUNCTION: [BEGIN web_pkg_router.bootstrap(:req, :res, :error) ; END; ]
[INFO ] 2020-06-02 02:50:00.962  --- orsys.common.HttpApi.CommonHttpCall[117] START CALL TO: [doc_types]
